ID,X1_age,X2_job,X3_marital,X4_salary,X5_default,X6_balance,X7_housing,X8_loan,X9_contact,X13_campaign,X15_previous,X16_toutcome,X17_ioutcome
TR00000001,4_50代,02_管理職,2_既婚,3_高,0_無,4_多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000002,3_40代,04_技術職,1_未婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000003,2_30代,01_経営者,2_既婚,2_中,0_無,0_少,1_有,1_有,X_不明,1回,0回,0_無,0_無
TR00000004,3_40代,05_労務職,2_既婚,X_不明,0_無,3_やや多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000005,2_30代,XX_不明,1_未婚,X_不明,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000006,2_30代,02_管理職,2_既婚,3_高,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000007,1_20代,02_管理職,1_未婚,3_高,0_無,2_中,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000008,4_50代,09_退職者,2_既婚,1_低,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000009,3_40代,04_技術職,1_未婚,2_中,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000010,3_40代,03_事務職,3_離婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000011,1_20代,03_事務職,1_未婚,2_中,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000012,4_50代,04_技術職,2_既婚,2_中,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000013,4_50代,04_技術職,2_既婚,X_不明,0_無,1_やや少,1_有,0_無,X_不明,1回,0回,0_無,0_無
TR00000014,4_50代,06_サービス職,2_既婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000015,4_50代,09_退職者,2_既婚,1_低,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000016,3_40代,03_事務職,1_未婚,X_不明,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000017,4_50代,05_労務職,2_既婚,1_低,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000018,5_60歳以上,09_退職者,2_既婚,1_低,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000019,2_30代,06_サービス職,2_既婚,2_中,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000020,1_20代,05_労務職,2_既婚,2_中,0_無,3_やや多,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000021,4_50代,02_管理職,2_既婚,3_高,0_無,3_やや多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000022,2_30代,05_労務職,1_未婚,1_低,0_無,1_やや少,0_無,1_有,X_不明,1回,0回,0_無,0_無
